code,code_name,code_short
sh.600684,珠江股份,600684
sh.600685,中船防务,600685
sh.600686,金龙汽车,600686
sh.600687,退市刚泰,600687
sh.600688,上海石化,600688
sh.600689,上海三毛,600689
sh.600690,海尔智家,600690
sh.600691,潞化科技,600691
sh.600692,亚通股份,600692
sh.600693,东百集团,600693
sh.600694,大商股份,600694
sh.600695,退市绿庭,600695
sh.600696,*ST岩石,600696
sh.600697,欧亚集团,600697
sh.600698,湖南天雁,600698
sh.600699,均胜电子,600699
sh.600700,*ST数码,600700
sh.600701,退市工新,600701
sh.600702,舍得酒业,600702
sh.600703,三安光电,600703
sh.600704,物产中大,600704
sh.600705,中航产融,600705
sh.600706,曲江文旅,600706
sh.600707,彩虹股份,600707
sh.600708,光明地产,600708
sh.600709,ST生态,600709
sh.600710,苏美达,600710
sh.600711,盛屯矿业,600711
sh.600712,南宁百货,600712
sh.600713,南京医药,600713
sh.600714,金瑞矿业,600714
sh.600715,文投控股,600715
sh.600716,凤凰股份,600716
sh.600717,天津港,600717
sh.600718,东软集团,600718
sh.600719,大连热电,600719
sh.600720,中交设计,600720
sh.600721,百花医药,600721
sh.600722,金牛化工,600722
sh.600723,首商股份,600723
sh.600724,宁波富达,600724
sh.600725,云维股份,600725
sh.600726,华电能源,600726
sh.600727,鲁北化工,600727
sh.600728,佳都科技,600728
sh.600729,重百集团,600729
sh.600730,*ST高科,600730
sh.600731,湖南海利,600731
sh.600732,爱旭股份,600732
sh.600733,北汽蓝谷,600733
sh.600734,*ST实达,600734
sh.600735,ST新华锦,600735
sh.600736,苏州高新,600736
sh.600737,中粮糖业,600737
sh.600738,丽尚国潮,600738
sh.600739,辽宁成大,600739
sh.600740,山西焦化,600740
sh.600741,华域汽车,600741
sh.600742,富维股份,600742
sh.600743,华远控股,600743
sh.600744,华银电力,600744
sh.600745,*ST闻泰,600745
sh.600746,江苏索普,600746
sh.600747,退市大控,600747
sh.600748,上实发展,600748
sh.600749,西藏旅游,600749
sh.600750,华润江中,600750
sh.600751,海航科技,600751
sh.600752,*ST哈慈,600752
sh.600753,*ST海钦,600753
sh.600754,锦江酒店,600754
sh.600755,厦门国贸,600755
sh.600756,浪潮软件,600756
sh.600757,长江传媒,600757
sh.600758,辽宁能源,600758
sh.600759,ST洲际,600759
sh.600760,中航沈飞,600760
sh.600761,安徽合力,600761
sh.600762,S*ST金荔,600762
sh.600763,通策医疗,600763
sh.600764,中国海防,600764
sh.600765,中航重机,600765
sh.600766,退市园城,600766
sh.600767,退市运盛,600767
sh.600768,宁波富邦,600768
sh.600769,祥龙电业,600769
sh.600770,综艺股份,600770
sh.600771,广誉远,600771
sh.600772,S*ST龙昌,600772
sh.600773,西藏城投,600773
sh.600774,汉商集团,600774
sh.600775,南京熊猫,600775
sh.600776,东方通信,600776
sh.600777,*ST新潮,600777
sh.600778,友好集团,600778
sh.600779,水井坊,600779
sh.600780,通宝能源,600780
sh.600781,退市辅仁,600781
sh.600782,新钢股份,600782
sh.600783,鲁信创投,600783
sh.600784,鲁银投资,600784
sh.600785,新华百货,600785
sh.600786,东方锅炉,600786
sh.600787,中储股份,600787
sh.600788,*ST达曼,600788
sh.600789,鲁抗医药,600789
sh.600790,轻纺城,600790
sh.600791,京能置业,600791
sh.600792,云煤能源,600792
sh.600793,宜宾纸业,600793
sh.600794,保税科技,600794
sh.600795,国电电力,600795
sh.600796,钱江生化,600796
sh.600797,浙大网新,600797
sh.600798,宁波海运,600798
sh.600799,*ST龙科,600799
sh.600800,渤海化学,600800
sh.600801,华新建材,600801
sh.600802,福建水泥,600802
sh.600803,新奥股份,600803
sh.600804,退市鹏博,600804
sh.600805,悦达投资,600805
sh.600806,退市昆机,600806
sh.600807,济高发展,600807
sh.600808,马钢股份,600808
sh.600809,山西汾酒,600809
sh.600810,神马股份,600810
sh.600811,*ST东方,600811
sh.600812,华北制药,600812
sh.600813,ST鞍一工,600813
sh.600814,杭州解百,600814
sh.600815,厦工股份,600815
sh.600816,建元信托,600816
sh.600817,宇通重工,600817
sh.600818,ST中路,600818
sh.600819,耀皮玻璃,600819
sh.600820,隧道股份,600820
sh.600821,金开新能,600821
sh.600822,上海物贸,600822
sh.600823,*ST世茂,600823
sh.600824,益民集团,600824
sh.600825,新华传媒,600825
sh.600826,兰生股份,600826
sh.600827,百联股份,600827
sh.600828,茂业商业,600828
sh.600829,人民同泰,600829
sh.600830,香溢融通,600830
sh.600831,广电网络,600831
sh.600832,东方明珠,600832
sh.600833,第一医药,600833
sh.600834,申通地铁,600834
sh.600835,上海机电,600835
sh.600836,*ST易连,600836
sh.600837,海通证券,600837
sh.600838,上海九百,600838
sh.600839,四川长虹,600839
sh.600840,新湖创业,600840
sh.600841,动力新科,600841
sh.600842,中西药业,600842
sh.600843,上工申贝,600843
sh.600844,金煤科技,600844
sh.600845,宝信软件,600845
sh.600846,同济科技,600846
sh.600847,万里股份,600847
sh.600848,上海临港,600848
sh.600849,上药转换,600849
sh.600850,电科数字,600850
sh.600851,海欣股份,600851
sh.600852,*ST中川,600852
sh.600853,龙建股份,600853
sh.600854,春兰股份,600854
sh.600855,航天长峰,600855
sh.600856,退市中天,600856
sh.600857,宁波中百,600857
sh.600858,银座股份,600858
sh.600859,王府井,600859
sh.600860,京城股份,600860
sh.600861,北京人力,600861
sh.600862,中航高科,600862
sh.600863,华能蒙电,600863
sh.600864,哈投股份,600864
sh.600865,百大集团,600865
sh.600866,星湖科技,600866
sh.600867,通化东宝,600867
sh.600868,梅雁吉祥,600868
sh.600869,远东股份,600869
sh.600870,退市厦华,600870
sh.600871,石化油服,600871
sh.600872,中炬高新,600872
sh.600873,梅花生物,600873
sh.600874,创业环保,600874
sh.600875,东方电气,600875
sh.600876,凯盛新能,600876
sh.600877,电科芯片,600877
sh.600878,*ST北科,600878
sh.600879,航天电子,600879
sh.600880,博瑞传播,600880
sh.600881,亚泰集团,600881
sh.600882,妙可蓝多,600882
sh.600883,博闻科技,600883
sh.600884,杉杉股份,600884
sh.600885,宏发股份,600885
sh.600886,国投电力,600886
sh.600887,伊利股份,600887
sh.600888,新疆众和,600888
sh.600889,*ST京化,600889
sh.600890,退市中房,600890
sh.600891,退市秋林,600891
sh.600892,*ST大晟,600892
sh.600893,航发动力,600893
sh.600894,广日股份,600894
sh.600895,张江高科,600895
sh.600896,退市海医,600896
sh.600897,厦门空港,600897
sh.600898,*ST美讯,600898
sh.600899,*ST信联,600899
sh.600900,长江电力,600900
sh.600901,江苏金租,600901
sh.600903,贵州燃气,600903
sh.600905,三峡能源,600905
sh.600906,财达证券,600906
sh.600908,无锡银行,600908
sh.600909,华安证券,600909
sh.600916,中国黄金,600916
sh.600917,重庆燃气,600917
sh.600918,中泰证券,600918
sh.600919,江苏银行,600919
sh.600925,苏能股份,600925
sh.600926,杭州银行,600926
sh.600927,永安期货,600927
sh.600928,西安银行,600928
sh.600929,雪天盐业,600929
sh.600930,华电新能,600930
sh.600933,爱柯迪,600933
sh.600935,华塑股份,600935
