date,positions,avg_return_pct,best_stock,worst_stock,equity,peak,drawdown_pct
2024-07-19,1,18.65,大众交通(600611) +18.65%,大众交通(600611) +18.65%,147.89839713733923,147.89839713733923,0.0
2024-07-23,3,2.76,金龙汽车(600686) +5.41%,锦江在线(600650) -1.83%,151.9803928983298,151.9803928983298,0.0
2024-07-24,5,-2.54,大众交通(600611) +10.30%,锦江在线(600650) -11.65%,148.12009091871224,151.9803928983298,-2.539999999999989
2024-07-25,2,5.34,大众交通(600611) +11.98%,金龙汽车(600686) -1.30%,156.02970377377144,156.02970377377144,0.0
2024-07-26,2,2.36,大众交通(600611) +2.81%,金龙汽车(600686) +1.90%,159.71200478283248,159.71200478283248,0.0
2024-07-29,2,12.57,大众交通(600611) +13.05%,金龙汽车(600686) +12.09%,179.7878037840345,179.7878037840345,0.0
2024-07-30,2,6.62,金龙汽车(600686) +10.13%,沃尔核材(002130) +3.11%,191.68975639453757,191.68975639453757,0.0
2024-07-31,4,-4.81,沃尔核材(002130) +2.38%,锦江在线(600650) -15.14%,182.4694791119603,191.68975639453757,-4.81
2024-08-01,2,-13.4,大众交通(600611) -7.19%,锦江在线(600650) -19.61%,158.01856891095764,191.68975639453757,-17.565459999999995
2024-08-02,1,-9.27,江铃汽车(000550) -9.27%,江铃汽车(000550) -9.27%,143.3702475729119,191.68975639453757,-25.207141857999982
2024-08-05,1,-18.33,江铃汽车(000550) -18.33%,江铃汽车(000550) -18.33%,117.09048119279713,191.68975639453757,-38.91667275542859
2024-08-07,2,4.48,航天科技(000901) +10.00%,大众交通(600611) -1.04%,122.33613475023444,191.68975639453757,-36.18013969487179
2024-08-08,5,-3.45,航天科技(000901) +8.74%,金龙汽车(600686) -9.42%,118.11553810135136,191.68975639453757,-38.38192487539871
2024-08-09,3,-9.12,金龙汽车(600686) -1.15%,航天科技(000901) -17.13%,107.34340102650812,191.68975639453757,-44.00149332676235
2024-08-12,1,1.37,华映科技(000536) +1.37%,华映科技(000536) +1.37%,108.81400562057128,191.68975639453757,-43.23431378533899
2024-08-13,2,-0.35,大众交通(600611) +2.50%,华映科技(000536) -3.20%,108.4331566008993,191.68975639453757,-43.432993687090296
2024-08-14,2,2.92,大众交通(600611) +3.27%,大众交通(600611) +2.58%,111.59940477364555,191.68975639453757,-41.78123710275334
2024-08-15,1,1.05,大众交通(600611) +1.05%,大众交通(600611) +1.05%,112.7711985237688,191.68975639453757,-41.169940092332254
2024-08-21,1,1.48,创维数字(000810) +1.48%,创维数字(000810) +1.48%,114.44021226192056,191.68975639453757,-40.299255205698785
2024-08-22,1,11.61,创维数字(000810) +11.61%,创维数字(000810) +11.61%,127.72672090552955,191.68975639453757,-33.36799873508041
2024-08-28,1,5.23,大众交通(600611) +5.23%,大众交通(600611) +5.23%,134.40682840888874,191.68975639453757,-29.88314506892512
2024-08-29,1,0.48,大众交通(600611) +0.48%,大众交通(600611) +0.48%,135.05198118525138,191.68975639453757,-29.54658416525597
2024-09-09,2,4.58,天风证券(601162) +13.33%,欧菲光(002456) -4.16%,141.2373619235359,191.68975639453757,-26.319817720024695
2024-09-10,4,0.86,天风证券(601162) +10.20%,欧菲光(002456) -4.72%,142.45200323607833,191.68975639453757,-25.6861681524169
2024-09-11,5,2.18,保变电气(600550) +16.94%,大众交通(600611) -9.99%,145.55745690662482,191.68975639453757,-24.06612661813959
2024-09-12,5,3.74,保变电气(600550) +28.57%,大众交通(600611) -9.93%,151.0013057949326,191.68975639453757,-21.226199753658012
2024-09-13,2,2.68,保变电气(600550) +21.75%,大众交通(600611) -16.40%,155.0481407902368,191.68975639453757,-19.115061907056038
2024-09-18,4,-0.18,保变电气(600550) +5.03%,步步高(002251) -4.03%,154.76905413681436,191.68975639453757,-19.260654795623346
2024-09-19,7,5.17,保变电气(600550) +20.79%,步步高(002251) -4.76%,162.77061423568767,191.68975639453757,-15.086430648557068
2024-09-20,3,10.92,保变电气(600550) +32.86%,天风证券(601162) -4.86%,180.54516531022477,191.68975639453757,-5.8138688753794945
2024-09-23,3,1.59,保变电气(600550) +4.71%,中国软件(600536) -3.30%,183.41583343865736,191.68975639453757,-4.316309390498023
2024-09-24,5,0.24,银之杰(300085) +24.08%,保变电气(600550) -13.31%,183.85603143891012,191.68975639453757,-4.086668533035225
2024-09-25,3,-9.67,南天信息(000948) -1.43%,保变电气(600550) -21.97%,166.0771531987675,191.68975639453757,-13.36148768589073
2024-09-26,4,2.45,银之杰(300085) +17.67%,保变电气(600550) -9.81%,170.14604345213732,191.68975639453757,-11.238844134195041
2024-09-27,3,14.4,银之杰(300085) +41.22%,保变电气(600550) -5.10%,194.6470737092451,194.6470737092451,0.0
2024-10-09,1,4.99,同花顺(300033) +4.99%,同花顺(300033) +4.99%,204.35996268733643,204.35996268733643,0.0
2024-10-10,1,-13.32,同花顺(300033) -13.32%,同花顺(300033) -13.32%,177.13921565738323,204.35996268733643,-13.319999999999995
2024-10-14,1,-10.16,小商品城(600415) -10.16%,小商品城(600415) -10.16%,159.14187134659306,204.35996268733643,-22.126688000000012
2024-10-15,1,-4.0,小商品城(600415) -4.00%,小商品城(600415) -4.00%,152.77619649272935,204.35996268733643,-25.241620480000005
2024-10-16,1,-2.95,中油资本(000617) -2.95%,中油资本(000617) -2.95%,148.26929869619386,204.35996268733643,-27.446992675839994
2024-10-17,1,0.92,中油资本(000617) +0.92%,中油资本(000617) +0.92%,149.63337624419887,204.35996268733643,-26.77950500845771
2024-10-24,2,-1.08,中文在线(300364) +1.25%,万丰奥威(002085) -3.41%,148.0173357807615,204.35996268733643,-27.570286354366374
2024-10-25,2,3.27,中文在线(300364) +5.36%,万丰奥威(002085) +1.18%,152.85750266079242,204.35996268733643,-25.20183471815415
2024-10-30,3,6.54,恒银科技(603106) +8.79%,海能达(002583) +3.81%,162.8543833348082,204.35996268733643,-20.310034708721446
2024-10-31,4,11.27,四川长虹(600839) +17.72%,上海电气(601727) +0.11%,181.20807233664112,204.35996268733643,-11.328975620394338
2024-11-01,4,-10.65,保变电气(600550) -7.95%,四川长虹(600839) -15.82%,161.90941263278881,204.35996268733643,-20.772439716822355
2024-11-04,7,-7.24,青岛金王(002094) +0.00%,四川长虹(600839) -14.91%,150.1871711581749,204.35996268733643,-26.508515081324425
2024-11-05,7,1.49,青岛金王(002094) +10.00%,电广传媒(000917) -11.86%,152.4249600084317,204.35996268733643,-25.413491956036154
2024-11-06,3,6.06,上海电气(601727) +11.71%,海能达(002583) +1.00%,161.66191258494266,204.35996268733643,-20.893549568571952
2024-11-07,4,8.94,同花顺(300033) +20.89%,上海电气(601727) -2.36%,176.11448757003652,204.35996268733643,-13.82143290000229
2024-11-08,5,4.34,同花顺(300033) +12.10%,华映科技(000536) -1.71%,183.75785633057612,204.35996268733643,-10.08128308786238
2024-11-11,4,-0.27,万丰奥威(002085) +9.80%,华映科技(000536) -11.59%,183.26171011848356,204.35996268733643,-10.32406362352515
2024-11-12,6,-0.75,中国软件(600536) +8.09%,华映科技(000536) -20.37%,181.88724729259494,204.35996268733643,-10.996633146348712
2024-11-13,6,-0.53,同花顺(300033) +6.00%,华映科技(000536) -16.71%,180.92324488194419,204.35996268733643,-11.468350990673063
2024-11-14,4,-4.96,赢时胜(300377) +2.42%,中国长城(000066) -11.89%,171.94945193579974,204.35996268733643,-15.859520781535682
2024-11-15,5,-5.58,有研新材(600206) +1.72%,同花顺(300033) -12.65%,162.35467251778212,204.35996268733643,-20.55455952192599
2024-11-18,5,-10.3,中国软件(600536) -6.67%,同花顺(300033) -14.65%,145.63214124845055,204.35996268733643,-28.73743989116762
2024-11-19,5,3.39,上海电气(601727) +10.61%,中国软件(600536) -2.42%,150.56907083677305,204.35996268733643,-26.32163910347819
2024-11-20,7,8.87,大千生态(603955) +21.03%,万丰奥威(002085) +2.97%,163.9245474199948,204.35996268733643,-19.78636849195671
2024-11-21,7,4.99,大千生态(603955) +15.16%,机器人(300024) -2.85%,172.10438233625257,204.35996268733643,-15.78370827970534
2024-11-22,6,0.52,日出东方(603366) +7.59%,机器人(300024) -9.05%,172.99932512440108,204.35996268733643,-15.345783562759808
2024-11-25,5,2.31,日出东方(603366) +18.32%,大千生态(603955) -9.60%,176.99560953477473,204.35996268733643,-13.39027116305957
2024-11-26,3,-9.48,机器人(300024) -4.30%,大千生态(603955) -18.63%,160.2164257508781,204.35996268733643,-21.600873456801516
2024-11-27,3,2.68,东方锆业(002167) +10.94%,机器人(300024) -2.87%,164.51022596100162,204.35996268733643,-19.4997768654438
2024-11-28,2,3.63,东方锆业(002167) +17.29%,三维化学(002469) -10.03%,170.481947163386,204.35996268733643,-16.577618765659402
2024-11-29,3,3.04,有研新材(600206) +6.64%,魅视科技(001229) -0.01%,175.66459835715293,204.35996268733643,-14.04157837613545
2024-12-02,6,0.31,华立科技(301011) +5.43%,魅视科技(001229) -10.00%,176.2091586120601,204.35996268733643,-13.775107269101476
2024-12-03,4,5.54,一鸣食品(605179) +15.16%,华立科技(301011) -7.44%,185.97114599916821,204.35996268733643,-8.998248211809699
2024-12-04,4,9.4,机器人(300024) +16.16%,魅视科技(001229) -5.09%,203.45243372309002,204.35996268733643,-0.4440835437198124
2024-12-05,7,11.63,跨境通(002640) +22.22%,永辉超市(601933) -1.15%,227.1139517650854,227.1139517650854,0.0
2024-12-06,7,4.01,利欧股份(002131) +18.50%,永辉超市(601933) -7.87%,236.22122123086532,236.22122123086532,0.0
2024-12-09,5,-6.68,华胜天成(600410) -0.75%,利欧股份(002131) -12.64%,220.4416436526435,236.22122123086532,-6.680000000000007
2024-12-10,4,-1.82,埃夫特(688165) +17.10%,利欧股份(002131) -18.39%,216.42960573816538,236.22122123086532,-8.378424000000013
2024-12-11,5,6.01,埃夫特(688165) +9.28%,五洲新春(603667) +2.11%,229.43702504302914,236.22122123086532,-2.8719672824000053
2024-12-12,5,7.41,惠发食品(603536) +20.20%,一鸣食品(605179) -3.80%,246.43830859871764,246.43830859871764,0.0
2024-12-13,6,-1.26,引力传媒(603598) +5.40%,一鸣食品(605179) -13.43%,243.33318591037377,246.43830859871764,-1.2600000000000107
2024-12-16,7,-1.28,引力传媒(603598) +15.96%,建设工业(002265) -12.34%,240.21852113072097,246.43830859871764,-2.5238720000000168
2024-12-17,8,-5.5,天娱数科(002354) +15.21%,建设工业(002265) -21.10%,227.00650246853132,246.43830859871764,-7.885059040000014
2024-12-18,10,-1.05,天娱数科(002354) +20.19%,三维通信(002115) -20.38%,224.62293419261172,246.43830859871764,-8.852265920080022
2024-12-19,5,-3.92,机器人(300024) +1.44%,日上集团(002593) -9.44%,215.81771517226133,246.43830859871764,-12.425257096012892
2024-12-20,2,1.95,沃尔核材(002130) +8.47%,润欣科技(300493) -4.58%,220.02616061812046,246.43830859871764,-10.717549609385129
2024-12-23,4,-1.05,沃尔核材(002130) +9.51%,瑞斯康达(603803) -10.80%,217.7158859316302,246.43830859871764,-11.655015338486583
2024-12-24,7,4.11,瑞斯康达(603803) +13.23%,瑞斯康达(603803) -1.87%,226.6640088434202,246.43830859871764,-8.024036468898386
2024-12-25,5,5.37,永辉超市(601933) +8.98%,瑞斯康达(603803) +1.92%,238.83586611831186,246.43830859871764,-3.0849272272782287
2024-12-26,5,4.11,永辉超市(601933) +13.12%,瑞斯康达(603803) -3.08%,248.65202021577448,248.65202021577448,0.0
2024-12-27,3,0.2,天娱数科(002354) +4.44%,瑞斯康达(603803) -4.78%,249.14932425620603,249.14932425620603,0.0
2024-12-30,4,-5.53,永辉超市(601933) -0.74%,瑞斯康达(603803) -14.33%,235.37136662483786,249.14932425620603,-5.52999999999999
2024-12-31,6,-8.28,中百集团(000759) +4.72%,瑞斯康达(603803) -20.03%,215.88261746830128,249.14932425620603,-13.352115999999995
2025-01-02,5,3.74,中百集团(000759) +15.21%,创维数字(000810) -14.59%,223.95662736161577,249.14932425620603,-10.111485138399983
2025-01-03,6,0.75,中恒电气(002364) +11.30%,沃尔核材(002130) -6.82%,225.6363020668279,249.14932425620603,-9.437321276937976
2025-01-06,6,-3.35,建设工业(002265) +6.54%,中百集团(000759) -14.14%,218.07748594758917,249.14932425620603,-12.471171014160557
2025-01-07,7,-3.38,中恒电气(002364) +7.42%,中百集团(000759) -22.75%,210.70646692256062,249.14932425620603,-15.42964543388194
2025-01-08,7,3.35,中恒电气(002364) +18.19%,中百集团(000759) -19.22%,217.76513356446645,249.14932425620603,-12.596538555916966
2025-01-09,3,5.41,海得控制(002184) +16.16%,中恒电气(002364) -3.39%,229.54622729030407,249.14932425620603,-7.86801129179208
2025-01-10,7,0.82,中恒电气(002364) +9.91%,海得控制(002184) -6.90%,231.4285063540846,249.14932425620603,-7.112528984384767
2025-01-13,6,-4.77,海得控制(002184) +0.00%,海得控制(002184) -10.13%,220.38936660099475,249.14932425620603,-11.543261351829615
2025-01-14,8,7.01,建设工业(002265) +22.20%,海得控制(002184) -2.09%,235.83866119972447,249.14932425620603,-5.342443972592876
2025-01-15,6,5.94,建设工业(002265) +34.42%,康盛股份(002418) -10.23%,249.84747767498808,249.84747767498808,0.0
2025-01-16,6,-3.4,五洲新春(603667) +2.02%,建设工业(002265) -11.95%,241.35266343403848,249.84747767498808,-3.4000000000000057
2025-01-17,9,-2.11,巨轮智能(002031) +12.07%,建设工业(002265) -16.45%,236.26012223558024,249.84747767498808,-5.438260000000015
2025-01-20,9,1.45,巨轮智能(002031) +8.98%,金奥博(002917) -9.32%,239.68589400799613,249.84747767498808,-4.0671147700000265
2025-01-21,8,4.42,建设工业(002265) +16.43%,引力传媒(603598) -3.82%,250.28001052314957,250.28001052314957,0.0
2025-01-22,7,0.76,金奥博(002917) +13.64%,引力传媒(603598) -10.59%,252.1821386031255,252.1821386031255,0.0
2025-01-23,5,-6.54,五洲新春(603667) -0.67%,建设工业(002265) -9.30%,235.68942673848107,252.1821386031255,-6.54000000000001
2025-01-24,4,3.51,冀东装备(000856) +11.25%,建设工业(002265) -3.12%,243.96212561700173,252.1821386031255,-3.2595540000000223
2025-01-27,9,1.22,冀东装备(000856) +22.40%,五洲新春(603667) -9.08%,246.93846354952916,252.1821386031255,-2.079320558800019
2025-02-05,12,-4.99,机器人(300024) +3.92%,沃尔核材(002130) -14.27%,234.61623421840767,252.1821386031255,-6.965562462915893
2025-02-06,8,3.7,长盛轴承(300718) +17.63%,冀东装备(000856) -2.94%,243.29703488448874,252.1821386031255,-3.5232882740437863
2025-02-07,4,7.64,用友网络(600588) +14.17%,昆仑万维(300418) +1.49%,261.8849283496637,261.8849283496637,0.0
2025-02-10,4,11.16,每日互动(300766) +31.71%,广和通(300638) -2.60%,291.1112863534861,291.1112863534861,0.0
2025-02-11,5,-2.18,万丰奥威(002085) +0.04%,四川长虹(600839) -6.55%,284.7650603109801,291.1112863534861,-2.1799999999999926
2025-02-12,6,2.64,广和通(300638) +7.49%,四川长虹(600839) -0.91%,292.28285790318995,292.28285790318995,0.0
2025-02-13,4,-3.12,巨轮智能(002031) +6.59%,浙数文化(600633) -11.59%,283.16363273661045,292.28285790318995,-3.11999999999999
2025-02-14,4,-1.52,杭钢股份(600126) +11.40%,视觉中国(000681) -6.42%,278.859545519014,292.28285790318995,-4.592575999999989
2025-02-17,6,5.45,杭钢股份(600126) +22.50%,视觉中国(000681) -11.42%,294.0573907498002,294.0573907498002,0.0
2025-02-18,3,0.73,浙数文化(600633) +8.42%,杭钢股份(600126) -4.17%,296.20400970227377,296.20400970227377,0.0
2025-02-19,6,1.29,每日互动(300766) +20.45%,杭钢股份(600126) -8.69%,300.02504142743305,300.02504142743305,0.0
2025-02-20,8,1.1,杭钢股份(600126) +9.53%,浙文互联(600986) -5.88%,303.3253168831348,303.3253168831348,0.0
2025-02-21,6,3.36,海南华铁(603300) +10.45%,浙文互联(600986) -1.96%,313.5170475304082,313.5170475304082,0.0
2025-02-24,5,-2.67,海南华铁(603300) +6.19%,优刻得(688158) -13.89%,305.14614236134634,313.5170475304082,-2.669999999999991
2025-02-25,6,5.41,杭钢股份(600126) +19.22%,中国联通(600050) -3.66%,321.65454866309517,321.65454866309517,0.0
2025-02-26,8,5.34,杭钢股份(600126) +31.18%,智慧农业(000816) -5.48%,338.8309015617044,338.8309015617044,0.0
2025-02-27,5,-1.29,首都在线(300846) +18.07%,智慧农业(000816) -13.82%,334.45998293155844,338.8309015617044,-1.2899999999999978
2025-02-28,2,-2.16,杭钢股份(600126) -0.08%,首都在线(300846) -4.25%,327.2356473002368,338.8309015617044,-3.4221359999999943
2025-03-03,6,-6.95,杭钢股份(600126) -0.58%,首都在线(300846) -11.29%,304.49276981287034,338.8309015617044,-10.134297547999994
2025-03-04,5,-2.04,巨轮智能(002031) +6.43%,首都在线(300846) -14.79%,298.2811173086878,338.8309015617044,-11.967557878020795
2025-03-05,5,-1.18,杭钢股份(600126) +0.57%,东方锆业(002167) -3.01%,294.76140012444523,338.8309015617044,-13.006340695060159
2025-03-06,4,3.6,用友网络(600588) +9.25%,东方锆业(002167) -1.81%,305.3728105289253,338.8309015617044,-9.874568960082314
2025-03-07,3,2.71,信隆健康(002105) +6.04%,共进股份(603118) -2.25%,313.64841369425915,338.8309015617044,-7.432169778900552
2025-03-10,5,-2.62,信隆健康(002105) +16.62%,云鼎科技(000409) -10.01%,305.4308252554696,338.8309015617044,-9.85744693069335
2025-03-11,2,-4.99,云鼎科技(000409) -3.32%,共进股份(603118) -6.66%,290.1898270752216,338.8309015617044,-14.355560328851762
2025-03-12,1,-0.61,海南华铁(603300) -0.61%,海南华铁(603300) -0.61%,288.41966913006274,338.8309015617044,-14.877991410845773
2025-03-13,4,0.42,湖北广电(000665) +7.71%,岩山科技(002195) -6.10%,289.631031740409,338.8309015617044,-14.520478974771322
2025-03-14,3,-4.36,湖北广电(000665) -1.57%,岩山科技(002195) -5.80%,277.0031187565272,338.8309015617044,-18.24738609147128
2025-03-18,1,-2.31,海南华铁(603300) -2.31%,海南华铁(603300) -2.31%,270.6043467132514,338.8309015617044,-20.135871472758307
2025-03-19,3,-1.28,科泰电源(300153) +0.42%,信隆健康(002105) -4.48%,267.1406110753218,338.8309015617044,-21.158132317907004
2025-03-20,4,-2.22,云鼎科技(000409) +0.80%,科泰电源(300153) -5.37%,261.2100895094497,338.8309015617044,-22.90842178044945
2025-03-21,3,-6.68,机器人(300024) -2.94%,云鼎科技(000409) -9.25%,243.76125553021842,338.8309015617044,-28.058139205515438
2025-03-24,4,1.82,卧龙电驱(600580) +11.09%,机器人(300024) -4.62%,248.1977103808684,338.8309015617044,-26.74879733905582
2025-03-25,4,-1.86,卧龙电驱(600580) +6.67%,科泰电源(300153) -12.13%,243.58123296778427,338.8309015617044,-28.11126970854937
2025-03-26,3,0.74,中毅达(600610) +1.44%,首都在线(300846) -0.29%,245.38373409174588,338.8309015617044,-27.579293104392633
2025-03-27,4,5.69,红宝丽(002165) +13.09%,首都在线(300846) -6.29%,259.3460685615662,338.8309015617044,-23.45855488203258
2025-03-28,2,4.26,红宝丽(002165) +14.61%,中毅达(600610) -6.09%,270.3942110822889,338.8309015617044,-20.197889320007175
2025-03-31,1,1.02,新力金融(600318) +1.02%,新力金融(600318) +1.02%,273.15223203532827,338.8309015617044,-19.38390779107124
2025-04-01,3,6.69,红宝丽(002165) +22.37%,新力金融(600318) -1.94%,291.4261163584917,338.8309015617044,-13.990691222293918
2025-04-02,4,6.62,红宝丽(002165) +16.71%,中毅达(600610) +1.76%,310.71852526142385,338.8309015617044,-8.296874981209774
2025-04-03,3,8.01,红宝丽(002165) +14.34%,大众交通(600611) +0.31%,335.60707913486397,338.8309015617044,-0.9514546672046579
2025-04-07,3,-6.81,中毅达(600610) +0.00%,红宝丽(002165) -10.78%,312.7522370457797,338.8309015617044,-7.696660604368036
2025-04-08,3,3.52,哈三联(002900) +22.27%,中毅达(600610) -9.89%,323.7611157897911,338.8309015617044,-4.447583057641792
2025-04-09,2,19.46,哈三联(002900) +34.52%,红宝丽(002165) +4.40%,386.76502892248436,386.76502892248436,0.0
2025-04-10,1,6.75,红宝丽(002165) +6.75%,红宝丽(002165) +6.75%,412.87166837475206,412.87166837475206,0.0
2025-04-11,2,4.07,贝因美(002570) +6.45%,机器人(300024) +1.68%,429.67554527760444,429.67554527760444,0.0
2025-04-14,3,1.55,贝因美(002570) +3.38%,贝因美(002570) -1.61%,436.33551622940735,436.33551622940735,0.0
2025-04-15,3,-7.48,贝因美(002570) -2.92%,回盛生物(300871) -11.09%,403.6976196154477,436.33551622940735,-7.479999999999993
2025-04-16,5,-2.99,红宝丽(002165) +12.70%,回盛生物(300871) -14.31%,391.62706078894576,436.33551622940735,-10.246348000000008
2025-04-17,5,3.55,红宝丽(002165) +24.03%,连云港(601008) -4.79%,405.5298214469534,436.33551622940735,-7.060093353999991
2025-04-18,5,-1.82,红宝丽(002165) +15.20%,连云港(601008) -14.23%,398.1491786966189,436.33551622940735,-8.751599654957182
2025-04-21,7,1.62,青岛金王(002094) +7.26%,君亭酒店(301073) -10.57%,404.5991953915041,436.33551622940735,-7.273375569367491
2025-04-22,7,2.53,红宝丽(002165) +11.54%,中毅达(600610) -4.00%,414.8355550349092,436.33551622940735,-4.927391971272482
2025-04-23,5,-4.48,机器人(300024) +1.22%,中毅达(600610) -13.60%,396.2509221693453,436.33551622940735,-9.186644810959466
2025-04-24,5,-1.29,乐山电力(600644) +6.11%,中毅达(600610) -14.67%,391.1392852733607,436.33551622940735,-10.358137092898096
2025-04-25,3,-6.24,红宝丽(002165) -3.54%,青岛金王(002094) -8.44%,366.73219387230296,436.33551622940735,-15.951789338301264
2025-04-28,4,0.01,红宝丽(002165) +5.03%,乐山电力(600644) -4.39%,366.7688670916902,436.33551622940735,-15.943384517235092
2025-04-29,3,-1.19,红宝丽(002165) +10.70%,乐山电力(600644) -13.95%,362.40431757329907,436.33551622940735,-16.94365824148
2025-04-30,2,3.94,双林股份(300100) +5.23%,机器人(300024) +2.65%,376.6830476856871,436.33551622940735,-13.671238376194303
2025-05-06,4,4.16,机器人(300024) +5.91%,机器人(300024) +1.72%,392.3530624694117,436.33551622940735,-10.079961892643974
2025-05-07,2,7.88,渝三峡A(000565) +14.27%,机器人(300024) +1.48%,423.27048379200136,436.33551622940735,-2.9942628897843218
2025-05-08,3,1.48,渝三峡A(000565) +3.68%,大众交通(600611) -0.20%,429.5348869521229,436.33551622940735,-1.558577980553143
2025-05-09,3,1.05,渝三峡A(000565) +10.07%,贝因美(002570) -4.27%,434.04500326512016,436.33551622940735,-0.5249430493489626
2025-05-12,1,19.01,渝三峡A(000565) +19.01%,渝三峡A(000565) +19.01%,516.5569583858195,516.5569583858195,0.0
2025-05-13,4,6.77,渝三峡A(000565) +25.82%,机器人(300024) -2.53%,551.5278644685394,551.5278644685394,0.0
2025-05-14,5,6.14,渝三峡A(000565) +16.25%,机器人(300024) -2.47%,585.3916753469077,585.3916753469077,0.0
2025-05-15,4,4.62,渝三峡A(000565) +21.66%,中毅达(600610) -11.47%,612.4367707479348,612.4367707479348,0.0
2025-05-16,3,1.15,乐山电力(600644) +5.08%,中毅达(600610) -2.60%,619.4797936115361,619.4797936115361,0.0
2025-05-19,1,1.36,乐山电力(600644) +1.36%,乐山电力(600644) +1.36%,627.904718804653,627.904718804653,0.0
2025-05-20,2,0.18,成飞集成(002190) +0.71%,中毅达(600610) -0.36%,629.0349472985015,629.0349472985015,0.0
2025-05-21,3,-7.36,中毅达(600610) -5.45%,成飞集成(002190) -9.36%,582.7379751773318,629.0349472985015,-7.359999999999997
2025-05-22,3,-1.42,连云港(601008) +7.94%,成飞集成(002190) -11.88%,574.4630959298137,629.0349472985015,-8.675488
2025-05-23,5,1.28,王子新材(002735) +9.85%,保变电气(600550) -4.78%,581.8162235577153,629.0349472985015,-7.506534246400004
2025-05-26,4,4.31,中毅达(600610) +14.93%,连云港(601008) -5.14%,606.8925027930527,629.0349472985015,-3.520065872419859
2025-05-27,1,4.49,王子新材(002735) +4.49%,王子新材(002735) +4.49%,634.1419761684608,634.1419761684608,0.0
2025-05-28,3,-0.28,王子新材(002735) +10.33%,宜宾纸业(600793) -10.00%,632.3663786351891,634.1419761684608,-0.28000000000000264
2025-05-29,3,-5.48,乐山电力(600644) -0.77%,宜宾纸业(600793) -14.63%,597.7127010859807,634.1419761684608,-5.744656000000008
2025-05-30,2,-5.5,乐山电力(600644) -5.20%,青岛金王(002094) -5.79%,564.8385025262518,634.1419761684608,-10.928699920000007
2025-06-03,2,8.17,均瑶健康(605388) +19.37%,青岛金王(002094) -3.04%,610.9858081826466,634.1419761684608,-3.651574703464004
2025-06-04,2,8.73,均瑶健康(605388) +20.97%,恒宝股份(002104) -3.51%,664.3248692369916,664.3248692369916,0.0
2025-06-05,1,6.14,恒宝股份(002104) +6.14%,恒宝股份(002104) +6.14%,705.1144162081428,705.1144162081428,0.0
2025-06-06,2,0.91,恒宝股份(002104) +2.96%,机器人(300024) -1.14%,711.5309573956371,711.5309573956371,0.0
2025-06-09,2,6.8,恒宝股份(002104) +13.23%,机器人(300024) +0.36%,759.9150624985404,759.9150624985404,0.0
2025-06-11,1,-5.67,乐山电力(600644) -5.67%,乐山电力(600644) -5.67%,716.8278784548731,759.9150624985404,-5.6699999999999955
2025-06-12,2,-3.74,众生药业(002317) -2.88%,乐山电力(600644) -4.59%,690.0185158006609,759.9150624985404,-9.197941999999994
